feature,importance
purchase_month,0.3337672708661299
estimated_days,0.26902500667879703
freight_value,0.20541074017550798
price,0.0704291612847349
payment_value,0.0620536340016502
cat_encoded,0.03572871972221309
purchase_dow,0.013727408819422625
payment_installments,0.009858058451544228
